Name: CCTV-13新闻, URL: http://222.129.32.10:8888/rtp/239.3.1.124:8128, Date: None, Resolution: None, Response Time: 543ms
Name: CCTV-13新闻, URL: http://111.197.224.161:4022/rtp/239.3.1.124:8128, Date: None, Resolution: None, Response Time: 547ms
Name: CCTV-13新闻, URL: http://114.254.95.25:2222/rtp/239.3.1.124:8128, Date: None, Resolution: None, Response Time: 551ms
Name: CCTV-13新闻, URL: http://123.113.237.79:8888/rtp/239.3.1.124:8128, Date: None, Resolution: None, Response Time: 577ms
Name: CCTV-2财经, URL: http://222.129.32.10:8888/rtp/239.3.1.60:8084, Date: None, Resolution: None, Response Time: 544ms
Name: CCTV-2财经, URL: http://111.197.224.161:4022/rtp/239.3.1.60:8084, Date: None, Resolution: None, Response Time: 546ms
Name: CCTV-2财经, URL: http://123.113.237.79:8888/rtp/239.3.1.60:8084, Date: None, Resolution: None, Response Time: 577ms
Name: 凤凰中文, URL: http://118.112.148.247:58888/rtp/239.93.1.9:2192, Date: None, Resolution: None, Response Time: 520ms
Name: 凤凰中文, URL: http://110.191.246.168:4022/rtp/239.93.0.162:2192, Date: None, Resolution: None, Response Time: 521ms
Name: 凤凰中文, URL: http://118.112.148.247:58888/rtp/239.93.0.162:2192, Date: None, Resolution: None, Response Time: 525ms
Name: 凤凰中文, URL: http://110.191.246.168:4022/rtp/239.93.1.9:2192, Date: None, Resolution: None, Response Time: 535ms
Name: 凤凰中文, URL: http://ayolee.com:5253/rtp/239.93.0.162:2192, Date: None, Resolution: None, Response Time: 625ms
Name: 凤凰资讯, URL: http://118.112.148.247:58888/rtp/239.93.0.118:2191, Date: None, Resolution: None, Response Time: 519ms
Name: 凤凰资讯, URL: http://118.112.148.247:58888/rtp/239.93.1.4:2191, Date: None, Resolution: None, Response Time: 522ms
Name: 凤凰资讯, URL: http://110.191.246.168:4022/rtp/239.93.1.4:2191, Date: None, Resolution: None, Response Time: 522ms
Name: 凤凰资讯, URL: http://110.191.246.168:4022/rtp/239.93.0.118:2191, Date: None, Resolution: None, Response Time: 536ms
Name: 凤凰资讯, URL: http://ayolee.com:5253/rtp/239.93.0.118:2191, Date: None, Resolution: None, Response Time: 669ms
Name: CCTV-1综合, URL: http://1.195.111.251:11190/tsfile/live/0001_1.m3u8, Date: 05-26-2023, Resolution: None, Response Time: 525ms
Name: CCTV-1综合, URL: http://222.129.32.10:8888/rtp/239.3.1.129:8008, Date: None, Resolution: None, Response Time: 544ms
Name: CCTV-1综合, URL: http://111.197.224.161:4022/rtp/239.3.1.129:8008, Date: None, Resolution: None, Response Time: 547ms
Name: CCTV-1综合, URL: http://123.113.237.79:8888/rtp/239.3.1.129:8008, Date: None, Resolution: None, Response Time: 596ms
Name: CCTV-3综艺, URL: http://222.129.32.10:8888/rtp/239.3.1.172:8001, Date: None, Resolution: None, Response Time: 544ms
Name: CCTV-3综艺, URL: http://111.197.224.161:4022/rtp/239.3.1.172:8001, Date: None, Resolution: None, Response Time: 547ms
Name: CCTV-3综艺, URL: http://123.113.237.79:8888/rtp/239.3.1.172:8001, Date: None, Resolution: None, Response Time: 574ms
